Filename,Quality_Score,Is_Readable,Issues,Size_Score,Contrast_Score,Sharpness_Score,Alignment_Score,Readability_Score,Image_Width,Image_Height,File_Size_Bytes
IR-WR-BCT-021-114320-BOLT-2024-000006.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1385
IR-CR-CSMT-105-089450-CLIP-2024-000005.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1466
IR-NR-DLI-067-234100-PLATE-2024-000004.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1493
IR-ER-HWH-045-156780-SLEEPER-2024-000004.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1467
IR-SR-MAS-089-234560-ANCHOR-2024-000004.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1476
IR-WR-VAPI-012-078920-BOLT-2024-000005.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1471
IR-CR-NAGPUR-078-345670-CLIP-2024-000004.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1507
IR-NR-AMB-034-123450-PLATE-2024-000004.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1480
IR-ER-ASN-056-234890-SLEEPER-2024-000004.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1469
IR-SR-TPJ-091-456780-ANCHOR-2024-000004.png,90.0,True,QR code alignment markers are distorted,100,100,100,33.33333333333333,100,615,615,1479
